AP,"Liceo Scientifico ""A. LOCATELLI""",GROTTAMMARE,"Via Parini, 69",63066,0735 581854,info@istitutoaeronavale.it,fondazionelocatelli@pec.it,DI GIMINIANI GIUSEPPE ,Fondazione Antonio Locatelli  ,"Via Parini, 69/73",Grottammare,Liceo Scientifico
AP,"Istituto Trasporti e Logistica ""A. LOCATELLI""",GROTTAMMARE,"Via Parini, 69",63066,0735 581854,info@istitutoaeronavale.it,fondazionelocatelli@pec.it,DI GIMINIANI GIUSEPPE ,Fondazione Antonio Locatelli  ,"Via Parini, 69/73",Grottammare,I.T.T. Trasporti e Logistica art. Conduzione del mezzo opz. aereo / navale
AP,"Liceo Scientifico sper. Quadriennale ""A. LOCATELLI""",GROTTAMMARE,"Via Parini, 69",63066,0735 581854,info@istitutoaeronavale.it,fondazionelocatelli@pec.it,DI GIMINIANI GIUSEPPE ,Fondazione Antonio Locatelli  ,"Via Parini, 69/73",Grottammare,Liceo Scientifico (quadriennale)
AP,"I.T.E. A.F.M. ""LO.VI.S.S. Formazione""",RIPATRANSONE,"c.da San Rustico, 65",63065,0735 683792,info@scuoleparitarieloviss.it,amministrazione@pec.scuoleparitarieloviss.it,POMPEI Enrico,LO.VI.S.S. Formazione S.r.l.,Via G.da Mogliano 21,Fermo,"I.T.E. Amm., Finanza e Marketing"
AP,"I.T.E. Turismo ""LO.VI.S.S. Formazione""",RIPATRANSONE,"c.da San Rustico, 65",63065,736 683792,info@scuoleparitarieloviss.it,amministrazione@pec.scuoleparitarieloviss.it,POMPEI Enrico,LO.VI.S.S. Formazione S.r.l.,Via G.da Mogliano 21,Fermo,I.T.E. Turismo
AP,"I.T.T. C.A.T. ""LO.VI.S.S. Formazione""",RIPATRANSONE,"c.da San Rustico, 65",63065,737 683792,info@scuoleparitarieloviss.it,amministrazione@pec.scuoleparitarieloviss.it,POMPEI Enrico,LO.VI.S.S. Formazione S.r.l.,Via G.da Mogliano 21,Fermo,I.T.T. Costruzioni Ambiente e Territorio
AP,"Liceo Scienze Umane opz .Ec. Soc. ""S. GIOVANNI BATTISTA""",SAN BENEDETTO D.TRONTO,"Via S.Martino, 143",63074,0735 583282,istitutosgb@gmail.com,istitutosgb@pec.net,BORRELLI Maria Giuseppa ,Congregazione Suore di San Giovanni Battista,"Via del Casale di S.Pio V, 1",Roma,Liceo delle Scienze Umane opz. Economico Sociale
FM,"Liceo Scienze Umane opz. Ec. Soc. ""LO.VI.S.S.Formazione""",FERMO,Via Zeppilli 62,63900,0734 228310 ,info@scuoleparitarieloviss.it,amministrazione@pec.scuoleparitarieloviss.it,POMPEI Enrico,LO.VI.S.S. Formazione S.r.l.,Via G.da Mogliano 21,Fermo,Liceo delle Scienze Umane opz. Economico Sociale
FM,"Liceo Scienze Umane ""LO.VI.S.S. Formazione""",FERMO,Via Zeppilli 62,63900,735 228310 ,info@scuoleparitarieloviss.it,amministrazine@pec.scuoleparitarieloviss.it,POMPEI Enrico,LO.VI.S.S. Formazione S.r.l.,Via G.da Mogliano 21,Fermo,Liceo delle Scienze Umane
FM,"Liceo Scientifico ""LO.VI.S.S. Formazione""",FERMO,Via Zeppilli 62,63900,736 228310 ,info@scuoleparitarieloviss.it,amministrazione@pec.scuoleparitarieloviss.it,POMPEI Enrico,LO.VI.S.S. Formazione S.r.l.,Via G.da Mogliano 21,Fermo,Liceo Scientifico
