MC,"Liceo Scienze Umane opz .Ec. Soc. ""STELLA MARIS""",CIVITANOVA MARCHE,"Via Saragat, 50 ",62012,0733 817588,liceostellamaris@gmail.com,mcpm00500l@pec.it,CAMPANARI Andrea,"Cooperativa Sociale ""Consapevolmente"" a r.l.","Via Saragat, 50",Civitanova Marche,Liceo Sc.Umane - Liceo Sc.Umane opz. Economico Sociale
MC,"I.T.E. A.F.M. ""IRENEO ALEANDRI""",MACERATA,"Via Cincinelli, 4   ",62100,0733 235157,itcireneoaleandri@libero.it,istitutoaleandri@pec.it,SEVERINI Giovanni,Istituto Aleandri s.r.l. ,"Via Cincinelli, 4   ",Macerata ,"I.T.E. Amm., Finanza e Marketing"
MC,"Liceo Scientifico opz. Scienze Appl. ""IRENEO ALEANDRI"" ",MACERATA,"Via Cincinelli, 4   ",62100,0733 235157,itcireneoaleandri@libero.it,istitutoaleandri@pec.it,SEVERINI Giovanni,Istituto Aleandri s.r.l. ,"Via Cincinelli, 4   ",Macerata ,Liceo Scientifico opz. Scienze Applicate
MC,"Ist. Prof. Servizi Socio-sanitari ""IRENEO ALEANDRI""",MACERATA,"Via Cincinelli, 4   ",62100,0733 235157,itcireneoaleandri@libero.it,istitutoaleandri@pec.it,SEVERINI Giovanni,Istituto Aleandri s.r.l. ,"Via Cincinelli, 4   ",Macerata,I.P. Servizi Socio-sanitari
MC,"Liceo Linguistico ""IRENEO ALEANDRI""",MACERATA,"Via Cincinelli, 4   ",62100,0733 235157,itcireneoaleandri@libero.it,istitutoaleandri@pec.it,SEVERINI Giovanni,Istituto Aleandri s.r.l. ,"Via Cincinelli, 4   ",Macerata,Liceo Linguistico
MC,"Liceo Scienze Umane opz. Ec. Soc. ""IRENEO ALEANDRI""",MACERATA,"Via Cincinelli, 4   ",62100,0733 235157,itcireneoaleandri@libero.it,istitutoaleandri@pec.it,SEVERINI Giovanni,Istituto Aleandri s.r.l. ,"Via Cincinelli, 4   ",Macerata,Liceo delle Scienze Umane opz. Economico Sociale
MC,"Liceo Scienze Umane opz .Ec. Soc. ""LEONARDO""",CIVITANOVA MARCHE,"Corso Garibaldi, 115/a",62012,0733 811120,chiara.lattanzi@istleonardo.it info@istleonardo.it,cscleonardosrls@legalmail.it - mcpmop500o@pec.it,PAOLETTI Yuri,C.S.C. Leonardo s.r.l.s.,"Via Menghini, 13 ",Recanati,Liceo delle Scienze Umane opz. Economico Sociale
MC,"I.T.T. Informatica e telecomunicazioni ""LEONARDO"" ",CIVITANOVA MARCHE,"Corso Garibaldi, 115/a",62012,0733 811120,chiara.lattanzi@istleonardo.it info@istleonardo.it,cscleonardosrls@legalmail.it  - mcpmop500o@pec.it,PAOLETTI Yuri,C.S.C. Leonardo s.r.l.s.,"Via Menghini, 13 ",Recanati,I.T.T. Informatica e Telecomunicazioni art. Informatica
MC,"I.T.T. Trasporti e logistica ""LEONARDO"" ",CIVITANOVA MARCHE,"Corso Garibaldi, 115/a",62012,0733 811120,chiara.lattanzi@istleonardo.it info@istleonardo.it,cscleonardosrls@legalmail.it - mcpmop500o@pec.it,PAOLETTI YURI,C.S.C. Leonardo s.r.l.s.,"Via Menghini, 13 ",Recanati,I.T.T. Trasporti e Logistica art. Logistica
MC,Ist. Prof. Servizi  LEONARDO per l'Enog. e l'ospitalità alberghiera artic. Enogastronomia,CIVITANOVA MARCHE,"Corso Garibaldi, 115/a",62012,0733 811120,chiara.lattanzi@istleonardo.it info@istleonardo.it,cscleonardosrls@legalmail.it - mcpmop500o@pec.it,PAOLETTI Yuri,C.S.C. Leonardo s.r.l.s.,"Via Menghini, 13 ",Recanati,I.P. Servizi Enogastronomia
MC,Ist. Magistrale ''BAMBIN GESU''',SAN SEVERINO MARCHE,"Via Castello, 4",62027,0733 638309,istitutomagistrale@bambingesu.org- suore@bambingesu.org,istitutobambingesu@pecitalia.biz,PALLOTTO Oliva,Istituto delle Suore Convittrici del Bambin Gesù ,"Via Castello, 4  ",San Severino Marche,Liceo delle Scienze Umane  - Liceo Linguistico
